kilograms,g,1000
kg,g,1000
kgrams,g,1000
kilo,g,1000
k,g,1000
grams,g,1
g,g,1
gm,g,1
gms,g,1
mg,g,0.001
miligrams,g,0.001
milligrams,g,0.001
mgs,g,0.001
milligram,g,0.001
liters,ml,1000
ltrs,ml,1000
l,ml,1000
ltr,ml,1000
lt,ml,1000
ml,ml,1
millilliters,ml,1
milliliters,ml,1
mililiters,ml,1
mls,ml,1
mltrs,ml,1
tsp,ml,4.292
tp,ml,4.292
teaspoon,ml,4.292
tsps,ml,4.292
teaspoons,ml,4.292
tps,ml,4.292
t,ml,4.292
tablespoon,ml,14.7868
tablespoons,ml,14.7868
TBS,ml,14.7868
TBLSP,ml,14.7868
tblsps,ml,14.7868
T,ml,14.7868
Tbls,ml,14.7868
tablesp,ml,14.7868